XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
10/30/2025 14:00,3995.53,3998.14,3992.88,3993.81,-172,-0.04,
10/30/2025 13:55,3987.89,3994.72,3987.43,3993.68,579,0.14,
10/30/2025 13:50,3975.74,3985.85,3974.93,3984.47,873,0.22,
10/30/2025 13:45,3975.08,3981.38,3974.14,3975.92,84,0.02,
10/30/2025 13:40,3968.69,3975.17,3965.44,3975.17,648,0.16,
10/30/2025 13:35,3969.48,3975.06,3965.18,3968.69,-79,-0.02,
10/30/2025 13:30,3969.77,3978.83,3966.9,3969.76,-1,0.00,
10/30/2025 13:25,3975.24,3975.94,3969.55,3970.02,-522,-0.13,
10/30/2025 13:20,3973.74,3976.06,3970.97,3975.49,175,0.04,
10/30/2025 13:15,3975.91,3976.31,3971.38,3973.64,-227,-0.06,
10/30/2025 13:10,3971.99,3977.5,3971.89,3975.41,342,0.09,
10/30/2025 13:05,3974.74,3977.06,3970.69,3972.46,-228,-0.06,
10/30/2025 13:00,3961.39,3975.18,3960.48,3974.13,1274,0.32,
10/30/2025 12:55,3972.37,3973.6,3961.09,3961.38,-1099,-0.28,
10/30/2025 12:50,3967.23,3974.45,3966.87,3972.33,510,0.13,
10/30/2025 12:45,3977.03,3978.85,3967.63,3967.96,-907,-0.23,
10/30/2025 12:40,3976.49,3980.19,3976,3978.24,175,0.04,
10/30/2025 12:35,3971.52,3979.1,3971.52,3976.51,499,0.13,
10/30/2025 12:30,3971.06,3974.77,3966.4,3971.58,52,0.01,
10/30/2025 12:25,3978.12,3980.56,3970.84,3971.17,-695,-0.18,
10/30/2025 12:20,3980.07,3984.17,3977.75,3977.98,-209,-0.05,
10/30/2025 12:15,3982.34,3985.29,3980.09,3980.09,-225,-0.06,
10/30/2025 12:10,3979.8,3982.94,3973.71,3982.3,250,0.06,
10/30/2025 12:05,3978.15,3981.76,3978.12,3979.51,136,0.03,
10/30/2025 12:00,3974.63,3982.13,3973.6,3978.07,344,0.09,
10/30/2025 11:55,3973.18,3976.68,3972.79,3974.35,117,0.03,
10/30/2025 11:50,3973.26,3973.94,3971.38,3972.77,-49,-0.01,
10/30/2025 11:45,3973.15,3975.88,3971.21,3973.04,-11,0.00,
